"Год продажи,""Неделя продажи"",""Город"",""ЖК"",""Корпус"",""Накопленная сумма продаж"",""Накопленная себестоимость"",""Накопленный объем проданных кв.м."",""Выручка за неделю"",""Количество проданных помещений за"",""Сумма проданных кв.м. за неделю"""
2026.0,17.0,Екатеринбург,Маяковский,Корпус 2,485127008,384168448,2657.5,107299608,18,7666808320
2026.0,17.0,Нижний Тагил,Запрудный,Корпус 2,205681328,172419808,1946.4,85045064,20,3173064960
2026.0,17.0,Екатеринбург,Энергетик,Корпус 2,519211680,415110752,2898.0,43503088,6,3001179392
2026.0,17.0,Екатеринбург,Академический,Корпус 3,373789760,312329504,2634.5,24101040,4,1456763776
2026.0,17.0,Верхняя Пышма,Таёжный,Корпус 2,95611664,78539352,783.5,20273994,4,354071936
2026.0,17.0,Екатеринбург,Академический,Корпус 1,300077664,250630896,2137.4,71118496,14,3687333888
2026.0,17.0,Нижний Тагил,Запрудный,Корпус 1,104008304,87374744,985.7,87374744,20,1021676032
2026.0,17.0,Екатеринбург,Энергетик,Корпус 4,558261760,446152320,3107.2,6040656.0,1,558261760
2026.0,17.0,Екатеринбург,Исеть-скай,Корпус А,469521504,354450368,1023.3,329421024,17,5125438976
2026.0,17.0,Екатеринбург,Исеть-скай,Корпус Б,684211392,515467776,1506.1,161017392,8,4819514880
2026.0,16.0,Екатеринбург,Энергетик,Корпус 4,510018912,405956352,2832.1,5856080.5,1,510018912
2026.0,16.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),792947264,623403968,4287.1,17180624,8,6257799168
2026.0,16.0,Екатеринбург,Исеть-скай,Корпус А,538633088,407676480,1147.1,407676480,16,4784691200
2026.0,16.0,Екатеринбург,Энергетик,Корпус 5,516058400,411086688,2861.3,5130323.0,1,516058400
2026.0,16.0,Екатеринбург,Академический,Корпус 2,266038640,220967792,1850.3,40759044,8,1968020096
2026.0,16.0,Екатеринбург,Маяковский,Корпус 1,377089440,297370080,2084.8,189222928,30,7755293696
2026.0,16.0,Екатеринбург,Академический,Корпус 1,216332480,180208752,1499.2,49046756,8,1517118848
2026.0,16.0,Екатеринбург,Академический,Корпус 3,307837088,255956928,2133.4,34989140,8,2332527104
2026.0,16.0,Нижний Тагил,Запрудный,Корпус 1,121446560,101296488,1098.3,101296488,26,1580377216
2026.0,16.0,Екатеринбург,Энергетик,Корпус 3,502606144,400100288,2797.2,16180938,2,994212480
2026.0,16.0,Екатеринбург,Исеть-скай,Корпус Б,831926464,628263872,1828.3,220587376,8,5606320128
2026.0,16.0,Екатеринбург,Маяковский,Корпус 3,768489536,606223360,4171.6,158215968,29,19768289280
2026.0,16.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),880465984,660181376,1982.3,31917510,10,8585366016
2026.0,16.0,Екатеринбург,Академический,Корпус 4,336588096,279532736,2355.7,23575816,3,980003840
2026.0,16.0,Верхняя Пышма,Таёжный,Корпус 1,59613976,48501504,479.4,19221654,3,154654144
2026.0,16.0,Нижний Тагил,Запрудный,Корпус 2,173091392,144461792,1565.2,43165304,12,1808604544
2026.0,16.0,Екатеринбург,Энергетик,Корпус 2,482123968,383919360,2686.5,6887915.0,2,963600256
2026.0,16.0,Верхняя Пышма,Таёжный,Корпус 2,89630280,72980536,713.8,24479028,4,321522176
2026.0,16.0,Верхняя Пышма,Таёжный,Корпус 3,108955008,88703648,876.3,15723112,3,304793856
2026.0,16.0,Екатеринбург,Маяковский,Корпус 2,566802944,448007392,3098.5,150637296,27,12896049152
2026.0,15.0,Екатеринбург,Академический,Корпус 2,313615712,260853712,2165.5,86664456,16,4247036160
2026.0,15.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),738855488,554073600,1711.1,41865824,13,9222178816
2026.0,15.0,Екатеринбург,Исеть-скай,Корпус А,311162816,234056768,688.2,234056768,11,1850568576
2026.0,15.0,Верхняя Пышма,Таёжный,Корпус 1,59551072,49091216,477.0,15850752,4,217475024
2026.0,15.0,Екатеринбург,Энергетик,Корпус 5,492279776,394037952,2718.3,10244050,2,979080064
2026.0,15.0,Верхняя Пышма,Таёжный,Корпус 3,114882832,94199664,930.4,28427798,5,498097184
2026.0,15.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),706462784,554448640,3827.9,19337500,9,6249823744
2026.0,15.0,Верхняя Пышма,Таёжный,Корпус 2,80144472,65771868,638.5,16680651,3,220369760
2026.0,15.0,Екатеринбург,Маяковский,Корпус 3,679245760,535111104,3697.9,143375312,24,14358510592
2026.0,15.0,Нижний Тагил,Запрудный,Корпус 2,134276512,112055088,1241.6,55569500,15,1534391808
2026.0,15.0,Екатеринбург,Энергетик,Корпус 3,443824416,355335264,2470.3,8689842.0,1,443824416
2026.0,15.0,Екатеринбург,Маяковский,Корпус 2,496663456,391735808,2724.9,175458272,31,12279916544
2026.0,15.0,Екатеринбург,Академический,Корпус 3,350119136,290963232,2411.2,30109528,5,1675597824
2026.0,15.0,Нижний Тагил,Запрудный,Корпус 1,67753688,56485592,645.2,56485592,14,524552064
2026.0,15.0,Екатеринбург,Энергетик,Корпус 4,479848000,383793920,2656.7,28458644,4,1872561152
2026.0,15.0,Екатеринбург,Исеть-скай,Корпус Б,674743104,512207776,1509.1,278151008,11,5960040448
2026.0,15.0,Екатеринбург,Энергетик,Корпус 2,432824608,346645408,2413.6,8276040.0,1,432824608
2026.0,15.0,Екатеринбург,Академический,Корпус 4,388025696,322440096,2670.1,31476868,5,1867431424
2026.0,15.0,Екатеринбург,Маяковский,Корпус 1,275477024,216277536,1495.1,158246720,25,4661960704
2026.0,15.0,Екатеринбург,Академический,Корпус 1,209151280,174189248,1476.3,52629896,9,1609021312
2026.0,14.0,Верхняя Пышма,Таёжный,Корпус 2,64107244,52411960,503.7,13910186,3,175436720
2026.0,14.0,Екатеринбург,Академический,Корпус 1,280497856,233364656,2002.2,59927536,10,2468448512
2026.0,14.0,Нижний Тагил,Запрудный,Корпус 2,98745168,82259848,893.7,22931962,7,607843904
2026.0,14.0,Екатеринбург,Исеть-скай,Корпус А,494978816,372711776,1098.8,372711776,11,2708781056
2026.0,14.0,Верхняя Пышма,Таёжный,Корпус 3,75463928,61687948,597.2,9275988.0,3,220806560
2026.0,14.0,Екатеринбург,Академический,Корпус 2,386661312,321200064,2697.3,87835416,16,5430603264
2026.0,14.0,Екатеринбург,Исеть-скай,Корпус Б,954187904,718927488,2143.3,346215744,14,11151795200
2026.0,14.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),617669056,485506048,3357.8,12866875,6,3660318976
2026.0,14.0,Екатеринбург,Маяковский,Корпус 2,391913216,310686464,2153.2,156726320,22,6167819776
2026.0,14.0,Екатеринбург,Энергетик,Корпус 2,510828000,406552416,2810.2,24918402,3,1504869760
2026.0,14.0,Нижний Тагил,Запрудный,Корпус 1,71116296,59327884,655.5,59327884,14,518402528
2026.0,14.0,Верхняя Пышма,Таёжный,Корпус 1,47309824,38501772,374.3,20351538,5,207015504
2026.0,14.0,Екатеринбург,Маяковский,Корпус 1,193098288,153960160,1083.4,130142920,24,2773608448
2026.0,14.0,Екатеринбург,Маяковский,Корпус 3,599378624,472639168,3271.3,161952688,26,13208997888
2026.0,14.0,Екатеринбург,Энергетик,Корпус 3,524153088,417115072,2873.3,10562648,3,1565944576
2026.0,14.0,Екатеринбург,Академический,Корпус 4,439683424,365148896,3061.9,43948812,7,2918455808
2026.0,14.0,Екатеринбург,Энергетик,Корпус 4,534920096,425620992,2928.8,8505930.0,1,534920096
2026.0,14.0,Екатеринбург,Энергетик,Корпус 1,479285728,381634016,2644.5,8689842.0,1,479285728
2026.0,14.0,Екатеринбург,Энергетик,Корпус 5,554668544,441222272,3034.2,15601274,2,1101286272
2026.0,14.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),988624384,741311232,2251.3,22383708,7,6816423424
2026.0,13.0,Верхняя Пышма,Таёжный,Корпус 2,46973076,38830240,372.0,13867494,3,120595520
2026.0,13.0,Екатеринбург,Энергетик,Корпус 1,422698304,337068704,2410.4,13875402,2,834629568
2026.0,13.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),993197312,748357696,2296.2,22176452,7,6853631488
2026.0,13.0,Екатеринбург,Маяковский,Корпус 1,152717600,120909464,806.6,105953344,18,1542094720
2026.0,13.0,Екатеринбург,Энергетик,Корпус 3,453263936,361322944,2557.7,5537268.0,1,453263936
2026.0,13.0,Екатеринбург,Энергетик,Корпус 2,446254752,355785696,2524.7,18716984,4,1750002688
2026.0,13.0,Нижний Тагил,Запрудный,Корпус 2,147463312,122922872,1346.3,66154920,17,1912536320
2026.0,13.0,Екатеринбург,Маяковский,Корпус 3,414691616,326693792,2210.7,65588564,11,4138764288
2026.0,13.0,Екатеринбург,Академический,Корпус 1,184379008,152486640,1273.2,43797564,9,1451426560
2026.0,13.0,Верхняя Пышма,Таёжный,Корпус 3,64261860,53170340,508.4,14340099,4,230491696
2026.0,13.0,Екатеринбург,Исеть-скай,Корпус А,410970336,312470496,922.2,312470496,13,2664516352
2026.0,13.0,Екатеринбург,Энергетик,Корпус 4,470953760,375297888,2653.2,13974942,2,936597504
2026.0,13.0,Екатеринбург,Академический,Корпус 2,261759488,216558880,1795.3,64072248,11,2475785216
2026.0,13.0,Екатеринбург,Маяковский,Корпус 2,331619648,261105232,1764.9,140195776,24,5976925184
2026.0,13.0,Нижний Тагил,Запрудный,Корпус 1,67758592,56767948,624.0,56767948,14,483032768
2026.0,13.0,Екатеринбург,Академический,Корпус 4,330814464,273881024,2253.8,52733452,9,2719649024
2026.0,13.0,Екатеринбург,Академический,Корпус 3,267355472,221147584,1829.5,4588699.5,1,267355472
2026.0,13.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),423465760,332866912,2252.2,6173125.0,3,1261684736
2026.0,13.0,Екатеринбург,Энергетик,Корпус 5,489407200,390281984,2743.2,14984088,2,967186432
2026.0,13.0,Екатеринбург,Исеть-скай,Корпус Б,959414528,726181248,2189.2,413710720,18,12560129024
2026.0,12.0,Екатеринбург,Энергетик,Корпус 4,533094752,426454528,2927.9,28211772,5,2595148032
2026.0,12.0,Верхняя Пышма,Таёжный,Корпус 2,132442912,108418176,1013.5,42232448,8,907275264
2026.0,12.0,Екатеринбург,Академический,Корпус 2,313774912,259651600,2200.8,18637902,4,1217122304
2026.0,12.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),380243392,297906400,2036.1,14800625,7,2599547648
2026.0,12.0,Екатеринбург,Исеть-скай,Корпус А,410561792,312891072,957.1,312891072,13,3240644352
2026.0,12.0,Екатеринбург,Академический,Корпус 3,323869088,267928832,2276.2,8277223.5,1,323869088
2026.0,12.0,Екатеринбург,Академический,Корпус 4,350502016,290256352,2466.5,22327524,4,1357089280
2026.0,12.0,Екатеринбург,Энергетик,Корпус 5,539522112,431532128,2956.8,5077614.5,1,539522112
2026.0,12.0,Верхняя Пышма,Таёжный,Корпус 3,140342320,114816696,1076.5,6398524.0,2,280207872
2026.0,12.0,Нижний Тагил,Запрудный,Корпус 2,105213512,87635656,980.0,49991872,13,1059724352
2026.0,12.0,Верхняя Пышма,Таёжный,Корпус 1,81062728,66185724,623.5,20628878,3,217922560
2026.0,12.0,Екатеринбург,Энергетик,Корпус 1,483723776,387285664,2691.0,37132640,6,2778046208
2026.0,12.0,Екатеринбург,Маяковский,Корпус 2,255725984,201826752,1379.8,107230872,18,3510063360
2026.0,12.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),1000401984,752849472,2348.8,25492558,8,7868339712
2026.0,12.0,Екатеринбург,Маяковский,Корпус 1,119822528,94595888,658.0,94595888,17,1078982784
2026.0,12.0,Екатеринбург,Энергетик,Корпус 2,489862112,392134976,2719.9,4849304.5,1,489862112
2026.0,12.0,Екатеринбург,Исеть-скай,Корпус Б,961182656,727356864,2225.8,414465792,18,12756110336
2026.0,12.0,Екатеринбург,Маяковский,Корпус 3,359144288,283105792,1936.6,81279024,13,4092756224
2026.0,12.0,Нижний Тагил,Запрудный,Корпус 1,45230556,37643784,399.3,37643784,10,229023088
2026.0,12.0,Екатеринбург,Энергетик,Корпус 3,497593472,398242752,2756.3,6107774.5,1,497593472
2026.0,12.0,Екатеринбург,Академический,Корпус 1,291280640,241013696,2060.0,77011720,14,3475928064
2026.0,11.0,Екатеринбург,Энергетик,Корпус 2,425554336,339815264,2372.8,9780042.0,1,425554336
2026.0,11.0,Нижний Тагил,Запрудный,Корпус 2,124035560,103460168,1136.1,62035052,17,1552238976
2026.0,11.0,Екатеринбург,Маяковский,Корпус 1,102731032,81513520,574.1,64710264,12,827122112
2026.0,11.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),477360928,373483168,2542.1,10858750,5,2355142144
2026.0,11.0,Екатеринбург,Маяковский,Корпус 2,254144848,199831264,1347.8,118317744,19,3563542272
2026.0,11.0,Екатеринбург,Исеть-скай,Корпус А,348858496,262270816,816.9,262270816,12,2461796864
2026.0,11.0,Верхняя Пышма,Таёжный,Корпус 2,72228872,58793384,564.2,17608252,3,194611168
2026.0,11.0,Екатеринбург,Академический,Корпус 4,315054048,262862784,2264.2,41638604,8,2360324864
2026.0,11.0,Екатеринбург,Энергетик,Корпус 4,431522784,344530336,2400.9,4715067.5,1,431522784
2026.0,11.0,Екатеринбург,Энергетик,Корпус 5,457251392,365160320,2541.6,20629996,2,902044544
2026.0,11.0,Екатеринбург,Академический,Корпус 1,218778096,182692880,1590.2,46509068,9,1734860928
2026.0,11.0,Екатеринбург,Маяковский,Корпус 3,461848416,362624416,2469.1,162793136,23,8372525056
2026.0,11.0,Екатеринбург,Исеть-скай,Корпус Б,780275200,587724608,1815.2,325453792,15,8669431808
2026.0,11.0,Екатеринбург,Энергетик,Корпус 1,413174528,330035200,2302.3,4849304.5,1,413174528
2026.0,11.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),824478272,616740544,1955.2,29015918,9,7244435968
2026.0,11.0,Екатеринбург,Академический,Корпус 2,247184208,206448128,1786.1,23755242,5,1184536320
2026.0,11.0,Нижний Тагил,Запрудный,Корпус 1,49699060,41425120,456.6,41425120,11,323480800
2026.0,11.0,Верхняя Пышма,Таёжный,Корпус 3,87088384,71364296,688.1,12570906,3,249018528
2026.0,11.0,Екатеринбург,Академический,Корпус 3,265203792,221224176,1920.7,14776052,2,520313408
2026.0,11.0,Верхняя Пышма,Таёжный,Корпус 1,50490292,41185136,406.0,15548566,4,180306304
2026.0,10.0,Нижний Тагил,Запрудный,Корпус 1,107624184,89974768,956.0,89974768,20,1132745216
2026.0,10.0,Екатеринбург,Энергетик,Корпус 1,427214048,340027360,2358.6,11829618,2,846569280
2026.0,10.0,Нижний Тагил,Запрудный,Корпус 2,169637344,142372224,1548.9,52397456,13,1818343168
2026.0,10.0,Екатеринбург,Исеть-скай,Корпус А,299135584,225499104,678.3,225499104,11,1978404864
2026.0,10.0,Екатеринбург,Маяковский,Корпус 3,457724832,360046688,2445.0,151130400,24,8836432896
2026.0,10.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),473088032,370831072,2517.5,10784375,5,2335012352
2026.0,10.0,Екатеринбург,Академический,Корпус 3,265760592,221339440,1877.8,8215016.0,2,530957088
2026.0,10.0,Екатеринбург,Академический,Корпус 1,154176816,128190792,1099.8,49310832,9,1151986944
2026.0,10.0,Екатеринбург,Энергетик,Корпус 3,465872864,370702240,2553.4,21075178,4,1824686464
2026.0,10.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),759432448,571234176,1721.8,19274860,6,4482413056
2026.0,10.0,Екатеринбург,Энергетик,Корпус 4,477529376,380051104,2614.4,9348860.0,1,477529376
2026.0,10.0,Екатеринбург,Маяковский,Корпус 2,264653712,208916288,1372.7,129778144,17,3120011264
2026.0,10.0,Екатеринбург,Академический,Корпус 4,288315840,240154080,2028.3,18814644,4,1132644608
2026.0,10.0,Верхняя Пышма,Таёжный,Корпус 1,82247224,66978456,622.4,41214068,9,550346944
2026.0,10.0,Екатеринбург,Академический,Корпус 2,255750864,213124416,1810.8,84933632,13,2671694336
2026.0,10.0,Екатеринбург,Энергетик,Корпус 2,439365568,349627072,2427.8,9599701.0,1,439365568
2026.0,10.0,Верхняя Пышма,Таёжный,Корпус 3,134269696,109995528,1040.8,27832876,5,607834624
2026.0,10.0,Верхняя Пышма,Таёжный,Корпус 2,100759184,82162656,768.3,15184199,4,387730560
2026.0,10.0,Екатеринбург,Исеть-скай,Корпус Б,729922304,551959360,1628.8,326460256,15,8037548544
2026.0,10.0,Екатеринбург,Маяковский,Корпус 1,100026112,79138152,525.5,75311824,15,977334848
2026.0,9.0,Верхняя Пышма,Таёжный,Корпус 3,62560648,50956232,468.0,17096970,4,219539120
2026.0,9.0,Нижний Тагил,Запрудный,Корпус 2,89459592,75089456,824.3,51848228,13,776452672
2026.0,9.0,Нижний Тагил,Запрудный,Корпус 1,27522864,23241228,247.7,23241228,6,89365000
2026.0,9.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),581628992,433311488,1343.7,32332024,10,5593957888
2026.0,9.0,Екатеринбург,Академический,Корпус 1,117612312,97113544,800.7,25930666,5,522482144
2026.0,9.0,Екатеринбург,Маяковский,Корпус 3,428268832,337105536,2291.0,118401696,16,5675428864
2026.0,9.0,Екатеринбург,Энергетик,Корпус 5,411810560,328520224,2239.6,10146381,1,411810560
2026.0,9.0,Екатеринбург,Академический,Корпус 2,171004480,141236656,1167.0,44123116,7,1041034304
2026.0,9.0,Екатеринбург,Исеть-скай,Корпус Б,531963936,400979456,1187.7,157502848,8,3663574272
2026.0,9.0,Екатеринбург,Маяковский,Корпус 1,166671488,131266400,881.5,124280480,19,1686298752
2026.0,9.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),437406304,343501792,2334.0,6396250.0,3,1302868992
2026.0,9.0,Екатеринбург,Маяковский,Корпус 2,277736512,218703840,1476.7,87437432,15,3473351680
2026.0,9.0,Екатеринбург,Академический,Корпус 4,194237248,160608736,1322.4,11809620,2,379668480
2026.0,9.0,Екатеринбург,Академический,Корпус 3,180226992,148799104,1229.0,7562450.0,1,180226992
2026.0,9.0,Верхняя Пышма,Таёжный,Корпус 1,41238628,33508848,301.3,7706449.5,2,77505608
2026.0,9.0,Екатеринбург,Энергетик,Корпус 1,391108224,312165376,2133.4,18958484,3,1156035328
2026.0,9.0,Екатеринбург,Исеть-скай,Корпус А,322392416,243476608,706.2,243476608,13,2666541056
2026.0,9.0,Верхняя Пышма,Таёжный,Корпус 2,41671236,33859260,304.8,350413.1,1,41671236
2026.0,9.0,Екатеринбург,Энергетик,Корпус 3,398967040,318373824,2170.4,6208452.0,1,398967040
2026.0,8.0,Екатеринбург,Академический,Корпус 2,173629840,143795088,1211.7,24499898,4,643642496
2026.0,8.0,Екатеринбург,Маяковский,Корпус 2,253306896,198364208,1351.4,79118712,15,3135421696
2026.0,8.0,Екатеринбург,Исеть-скай,Корпус А,283192480,212847696,657.2,212847696,9,1417891200
2026.0,8.0,Нижний Тагил,Запрудный,Корпус 1,32201130,27041522,291.4,27041522,8,154781024
2026.0,8.0,Верхняя Пышма,Таёжный,Корпус 2,76315312,62147476,577.1,19799518,5,340374720
2026.0,8.0,Верхняя Пышма,Таёжный,Корпус 3,97620112,79800472,751.8,17652998,3,270667328
2026.0,8.0,Екатеринбург,Исеть-скай,Корпус Б,482456800,363813568,1153.0,150965872,7,2832946688
2026.0,8.0,Екатеринбург,Академический,Корпус 3,197799856,164134416,1368.7,20339332,4,759277696
2026.0,8.0,Верхняя Пышма,Таёжный,Корпус 1,52076716,42347956,390.4,27609140,5,184225088
2026.0,8.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),522301056,389927904,1279.0,26114326,8,4039731712
2026.0,8.0,Екатеринбург,Маяковский,Корпус 3,469417536,368295008,2566.8,169930800,20,7171040256
2026.0,8.0,Екатеринбург,Маяковский,Корпус 1,152375152,119245488,810.9,110801704,20,1684384512
2026.0,8.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),481003040,376550624,2622.3,8255625.0,4,1906897408
2026.0,8.0,Екатеринбург,Академический,Корпус 1,144458512,119295184,1010.3,22688570,5,668026688
2026.0,8.0,Екатеринбург,Энергетик,Корпус 5,268214608,213604896,1484.3,9991920.0,1,268214608
2026.0,8.0,Нижний Тагил,Запрудный,Корпус 2,88541552,74030088,829.4,46988564,11,702870208
2026.0,8.0,Екатеринбург,Академический,Корпус 4,215890768,179204432,1499.4,15070011,2,422975520
2026.0,7.0,Верхняя Пышма,Таёжный,Корпус 3,66377788,54519640,493.1,20785802,3,165501936
2026.0,7.0,Екатеринбург,Исеть-скай,Корпус Б,520270176,393630688,1137.6,148667392,10,4595584000
2026.0,7.0,Нижний Тагил,Запрудный,Корпус 1,54657316,45365572,501.4,45365572,10,304763040
2026.0,7.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),579051328,432387648,1324.6,38756976,12,6628535296
2026.0,7.0,Екатеринбург,Академический,Корпус 1,103606624,85071952,714.5,28150610,6,530396416
2026.0,7.0,Екатеринбург,Исеть-скай,Корпус А,323055456,244963280,671.1,244963280,14,2747547136
2026.0,7.0,Нижний Тагил,Запрудный,Корпус 2,91752784,76533096,851.5,31167526,8,607517888
2026.0,7.0,Екатеринбург,Энергетик,Корпус 4,283068960,225938496,1553.3,25661254,3,816022016
2026.0,7.0,Екатеринбург,Академический,Корпус 4,184340832,152276512,1268.2,24812154,4,694703040
2026.0,7.0,Екатеринбург,Маяковский,Корпус 2,237278832,186838688,1260.1,94363600,16,2901667840
2026.0,7.0,Верхняя Пышма,Таёжный,Корпус 2,41073896,33733836,311.6,4436923.0,2,81671008
2026.0,7.0,Екатеринбург,Маяковский,Корпус 3,350015168,275168608,1858.7,88329928,15,4461456896
2026.0,7.0,Екатеринбург,Академический,Корпус 3,155034704,127464368,1062.8,8277223.5,1,155034704
2026.0,7.0,Екатеринбург,Энергетик,Корпус 5,313798880,250925376,1711.6,24986878,3,914729280
2026.0,7.0,Екатеринбург,Маяковский,Корпус 1,117492496,92475088,605.2,75885456,15,1091458688
2026.0,7.0,Екатеринбург,Академический,Корпус 2,144940528,119187144,987.4,34115188,6,760101440
2026.0,7.0,Верхняя Пышма,Таёжный,Корпус 1,35596212,29296914,273.9,13626146,3,87386152
2026.0,7.0,Екатеринбург,Энергетик,Корпус 3,251390288,200277232,1380.6,12181990,2,494879296
2026.0,7.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),361808928,283424256,1914.2,8255625.0,4,1429704448
2026.0,6.0,Екатеринбург,Маяковский,Корпус 2,196020320,154758656,1016.2,51022528,9,1502775040
2026.0,6.0,Верхняя Пышма,Таёжный,Корпус 1,17392914,14277768,130.1,3790152.0,1,17392914
2026.0,6.0,Екатеринбург,Маяковский,Корпус 3,274111520,215924528,1462.5,61165864,12,2884619264
2026.0,6.0,Екатеринбург,Маяковский,Корпус 1,131176448,103736128,688.4,98498576,21,1649831680
2026.0,6.0,Екатеринбург,Маяковский,Корпус 4 (Парковка),280061504,220089520,1490.5,4165000.0,2,557148032
2026.0,6.0,Екатеринбург,Академический,Корпус 1,120604624,100072280,849.9,19429398,4,452320832
2026.0,6.0,Екатеринбург,Академический,Корпус 4,183214816,152071440,1270.1,20147830,3,529373184
2026.0,6.0,Екатеринбург,Исеть-скай,Корпус Б,569461504,429591072,1244.1,138991472,7,3537035776
2026.0,6.0,Екатеринбург,Энергетик,Корпус 1,274694176,218847584,1555.2,18669122,2,537008512
2026.0,6.0,Екатеринбург,Академический,Корпус 2,147871904,122665704,1032.0,22593430,4,547599808
2026.0,6.0,Екатеринбург,Исеть-скай,Корпус В (Парковка),608307712,455290880,1368.1,25699814,8,4733527552
2026.0,6.0,Екатеринбург,Исеть-скай,Корпус А,384172992,290599616,830.2,290599616,13,2795139840
2026.0,6.0,Нижний Тагил,Запрудный,Корпус 2,113492288,94513128,1036.2,51830296,14,1168967424
2026.0,6.0,Екатеринбург,Энергетик,Корпус 4,287390048,228877328,1627.5,10029745,1,287390048
2026.0,6.0,Нижний Тагил,Запрудный,Корпус 1,51110732,42682828,468.3,42682828,10,275731936
2026.0,6.0,Верхняя Пышма,Таёжный,Корпус 3,47624804,38925788,371.1,24648020,5,173421392
2026.0,6.0,Екатеринбург,Академический,Корпус 3,158772592,131923608,1101.0,9257902.0,2,311818304
2026.0,6.0,Екатеринбург,Энергетик,Корпус 5,302512544,240824112,1698.4,11946778,2,596351488
